INFO  - 2014-03-10 16:03:13.941; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2014-03-10 16:03:13.947; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2014-03-10 16:03:13.949; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2014-03-10 16:03:13.950; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-03-10 16:03:13.963; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2014-03-10 16:03:13.965; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/fraferra/solr-4.7.0/example/solr/collection1/conf/elevate.xml
INFO  - 2014-03-10 16:03:14.009; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2014-03-10 16:03:14.009; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@3717ee94[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2014-03-10 16:03:14.010; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2014-03-10 16:03:14.012; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/fraferra/solr-4.7.0/example
INFO  - 2014-03-10 16:03:14.012; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2014-03-10 16:03:14.051; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=41 
INFO  - 2014-03-10 16:03:14.052; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2014-03-10 16:03:14.052; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2014-03-10 16:03:14.052; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2014-03-10 16:03:14.052; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2014-03-10 16:03:14.052; org.apache.solr.spelling.suggest.SolrSuggester; reload()
